CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Tulsa,Dennis R. Neill Equality Center,OK,US,2017-07-26,about 100,100,,100,,,organizer Sharon Queen,Support Our Troops Rally to oppose Trump transgender ban,1,rally,0,0,0,0,1,1,http://www.tulsaworld.com/homepagelatest/oklahomans-for-equality-holds-rally-to-support-transgender-military-personnel/article_826e387e-6cbe-5d75-bb63-b1b22545581e.html,,,,,,
Grand Junction,Outside Apsinall Federal Building,CO,US,2017-07-27,about 100,100,,100,,,general protestors,"Against Trump's trans ban, support trans communities",1,protest; rally,0,0,0,0,1,1,http://www.gjsentinel.com/news/articles/rally-supports-transgender-community,,,,,,
Hartford,Main Street,CT,US,2017-07-27,nearly 100,100,,100,,,general protestors,Oppose deportation of New Fairfield man,1,protest,0,0,0,0,1,1,http://www.nbcconnecticut.com/news/local/Rally-Today-for-Connecticut-Father-Who-Might-Be-Deported-436952363.html,http://www.greenwichtime.com/local/article/Supporters-rally-for-New-Fairfield-man-facing-11489304.php,http://www.newstimes.com/local/article/Supporters-rally-for-New-Fairfield-man-facing-11489304.php,,,,
Pocatello,Idaho State Student Union,ID,US,2017-07-27,More than 100,100,,100,,,Western Watersheds Project,Oppose use of cyanide bombs,0,protest,0,0,0,0,1,1,http://www.biologicaldiversity.org/news/press_releases/2017/cyanide-bombs-07-24-2017.php,http://www.idahostatejournal.com/outdoors/xtreme_idaho/barbaric-over-people-protest-usda-s-use-of-m-/article_8682db17-4923-5d7d-8b66-a019425b9935.html,https://www.eastidahonews.com/2017/07/100-people-protest-usdas-use-m-44-cyanide-bombs/,,,,
Brentwood,corner of Brentwood Boulevard and Eager Road,NY,US,2017-07-28,hundreds; more than 100,100,,200,,,Indivisible; ACLU People Power; Liberal Women Unite-St Louis; The Flag Project; Momentum: Moving Missouri Forward; NARAL Missouri; CAIR-Missouri; Mobilize Missouri Maplewood-Richmond Heights; Forward Together in Action; Small Deeds Done; PROMO; Show Me $15; and 350 STL,Protesting Trump's visit,1,protest,0,0,0,0,1,1,http://www.newsday.com/news/nation/protesters-gather-at-third-precinct-to-protest-donald-trump-1.13858563,http://www.kmov.com/story/35999573/this-is-not-okay-more-than-a-dozen-groups-gather-in-brentwood-to-protest,,,,,
San Bernadino,from the SEIU Office on North Arrowhead Avenue to Sheriff’s Department headquarters on East 3rd Street,CA,US,2017-07-28,more than 100,100,,100,,,Inland Coalition for Immigrant Justice,Demand county sheriff not cooperate with ICE,1,march; street blockade,0,0,0,0,1,1,http://www.pe.com/2017/07/28/immigrant-rights-advocates-protest-san-bernardino-county-sheriffs-cooperation-with-ice/,http://abc7.com/news/groups-protest-san-bernardino-sheriff-over-stances-on-immigration/2258845/,http://www.dailybulletin.com/general-news/20170728/immigrant-rights-advocates-protest-demand-san-bernardino-sheriffs-to-not-cooperate-with-ice,,,,
Baltimore,National Federation of the Blind’s headquarters in South Baltimore’s Riverside neighborhood,MD,US,2017-07-29,some 100,100,,100,,,Baltimore Housing Roundtable,Oppose Trump's federal housing cuts,1,rally,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-affordable-housing-rally-20170729-story.html,,,,,,
Des Moines,State Capitol,IA,US,2017-07-29,more than 100,100,,100,,,Our Lives on the Line; Women’s March-Iowa,Rally & March to Protect Medicare & Medicaid,1,protest,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/politics/2017/07/29/progressives-rally-iowa-capitol-preserve-obamacare/523095001/,http://www.press-citizen.com/story/news/politics/2017/07/29/progressives-rally-iowa-capitol-preserve-obamacare/523095001/,http://www.kcrg.com/content/news/Protesters-rally-for-safeguard-of-current-health-care-system-437487553.html,,,,
Los Angeles,City Hall,CA,US,2017-07-29,around 100,100,,100,,,Our Lives on the Line,Oppose GOP healthcare plan,1,rally,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-rally-healthcare-20170729-story.html,http://www.sacbee.com/latest-news/article164394867.html,,,,,
Montpelier,state capitol,VT,US,2017-07-29,more than 100,100,,100,,,Our Lives on the Line,Oppose GOP healthcare plan,1,rally,0,0,0,0,1,1,http://www.wcax.com/content/news/Vermonters-gather-for-Our-lives-are-on-the-Line-rallies-437405643.html,http://www.mynbc5.com/article/over-100-rally-for-healthcare/10381917,,,,,
New Haven,rom Dixwell Avenue to the city Green,CT,US,2017-07-29,just under 100,100,,100,,,Greater New Haven NAACP,commemorate 100th anniversary of silent protest parade,0,march,0,0,0,0,1,1,http://www.nhregister.com/general-news/20170729/greater-new-haven-naacp-holds-silent-protest-vocal-rally-at-city-green,,,,,,
San Antonio,Hemisfair,TX,US,2017-07-29,more than 100,100,,100,,,Healthcare Now for San Antonio,Demand Medicare for All,1,march,0,0,0,0,1,1,http://www.mysanantonio.com/news/local/article/100-activists-rally-at-Hemisfair-for-expanded-11717908.php,http://www.expressnews.com/news/local/article/100-activists-rally-at-Hemisfair-for-expanded-11717908.php,,,,,
St. Louis,Vandeventer Ave.,MO,US,2017-07-30,NA,100,,100,,,organizer Syd Hajiecek,Oppose Trump's transgender military ban,1,protest,0,0,0,0,1,1,http://www.kmov.com/story/36006037/st-louis-transgender-community-gathers-at-rally-in-response-to-military-ban,,,estimate from video,,,
Indianapolis,Statehouse,IN,US,2017-07-17,about 90,90,,90,,,Common Cause Indiana; League of Women Voters,Support redistricting reform,0,rally,0,0,0,0,1,1,http://www.kokomotribune.com/news/state_news/redistricting-reform-advocates-rally-at-indiana-statehouse/article_70a5c982-6b21-11e7-a487-876e1770c8a7.html,http://www.thedailystar.com/cnhi_network/redistricting-reform-advocates-rally-at-indiana-statehouse/article_96e634b7-392f-5a79-9191-a67c26c2e753.html,http://www.newsandtribune.com/news/redistricting-reform-advocates-rally-at-indiana-statehouse/article_7d1d587e-6b3a-11e7-9ce1-3761b7882779.html,,,,
Pittsburgh,Schenley Plaza to University of Pittsburgh,PA,US,2017-07-01,about 80,80,,80,,,Thomas Merten Center and Pittburghers in Solidarity Against War,Anti-war,0,march; protest,0,0,0,0,1,1,https://www.pghcitypaper.com/Blogh/archives/2017/07/01/protest-groups-look-to-jumpstart-pittsburghs-once-strong-anti-war-movement,,,,,,
Latrobe,outside Latrobe Specialty Metals' main gate,PA,US,2017-07-20,about 80,80,,80,,,United Steelworkers Local 1537,"Demand fair contract, better wages and an end to a two-tier wage system for recently hired workers",0,demonstration,0,0,0,0,1,1,http://triblive.com/local/westmoreland/12530407-74/latrobe-steelworkers-rally-for-fair-contract,,,,,,
Omaha,Walnut Grove,NE,US,2017-07-01,about 75,75,,75,,,Nebraska Taxpayers for Freedom,Independence Day Tax Rally,2,rally,0,0,0,0,1,1,http://www.omaha.com/news/metro/at-tax-rally-former-state-sen-bill-kintner-says-legislative/article_e63a2494-5ebb-11e7-9480-87e8808eb326.html,https://www.facebook.com/events/301120893670853/,,,,,
Louisville,Jefferson Square,KY,US,2017-07-26,around 75 to 100,75,,100,,,Ask Bevin About My Vag,Counter-protest; pro-choice,1,protest,0,0,0,0,0,1,http://www.courier-journal.com/story/news/local/2017/07/26/louisville-abortion-protest-meets-counter-protest-ask-bevin-my-vag/499955001/,https://www.leoweekly.com/2017/07/day-anti-abortion-propaganda-counter-protestors-jefferson-square/,http://www.wdrb.com/story/35981494/emw-clinic-workers-disturbed-by-recent-anti-abortion-protest-tactics,,,,
Palm Springs,in front of Chill Bar on Arenas Road,CA,US,2017-07-27,more than 75,75,,75,,,organizer Vincent Corrales,Oppose Trump's transgender military ban,1,protest,0,0,0,0,1,1,http://www.desertsun.com/story/news/2017/07/27/rally-transgender-troops-palm-springs-thursday-evening/516895001/,,,,,,
New Orleans,around Decatur Street and Esplanade Avenue in the French Quarter,LA,US,2017-07-29,approximately 75,75,,75,,,general protestors,Anti-facism,1,protest,4 (total pro and anti),0,0,0,1,1,http://www.nola.com/crime/index.ssf/2017/07/4_arrested_in_french_quarter_p.html,http://www.wdsu.com/article/nopd-arrests-4-at-french-quarter-protest/10381685,,,,,
San Diego,Balboa Park,CA,US,2017-07-29,around 75,75,,75,,,Our Lives on the Line,Oppose GOP healthcare plan; support Planned Parenthood,1,rally,0,0,0,0,1,1,http://www.sacbee.com/latest-news/article164394867.html,http://www.sandiegouniontribune.com/news/us-politics/sd-me-health-rallies-20170729-story.html,http://www.cbs8.com/story/36002649/san-diegans-join-nationwide-rally-in-support-of-affordable-care-act,,,,
Wilmington,steps of City Hall,NC,US,2017-07-29,about 75,75,,75,,,Women Organizing for Wilmington,Commemorate the six-month anniversary of the international women’s march,1,rally,0,0,0,0,1,1,https://www.wwaytv3.com/2017/07/29/dozens-show-support-for-womens-rights-rally/,http://www.starnewsonline.com/news/20170729/womens-group-rallies-in-wilmington-for-anniversary,,,,,
Portsmouth,outside City Hall down Country Street to New Mount Olivet Baptist Church,VA,US,2017-07-01,about 70,70,,70,,,general protestors; organizer and pastor Barry Randall,Oppose youth gun violence,0,march; protest,0,0,0,0,1,1,https://pilotonline.com/news/local/after-a-violent-month-portsmouth-community-leaders-march-to-send/article_24763035-c957-51dc-98e1-982366e8d566.html,,,,,,
Memphis,Tom Lee Park,TN,US,2017-07-09,about 70,70,,70,,,general protestors,Demand city provide community-directed resources,0,rally,0,0,0,0,0,1,http://www.commercialappeal.com/story/news/2017/07/10/march-seeks-save-children-anniversary-bridge-shutdown/461127001/,http://www.commercialappeal.com/picture-gallery/news/local/2017/07/09/youth-march-in-memphis-to-improve-their-future/103566056/,,,,,
Brentwood,Brentwood State Park,NY,US,2017-07-28,about 70,70,,70,,,general protestors,"Counter-protest, for Trump",2,protest,0,0,0,0,0,1,http://www.newsday.com/news/nation/protesters-gather-at-third-precinct-to-protest-donald-trump-1.13858563,,,,,,
Palos Township,"10802 S Roberts Rd, Palos Hills",IL,US,2017-07-10,Facebook: 67 went,67,,67,,,Southwest Suburban Activists,Oppose local official's anti-Muslim social media posts,0,rally,0,0,0,0,1,1,http://chicago.cbslocal.com/2017/07/10/rally-palos-township-trustee-anti-muslim-posts/,,,,,,
Reno,Downtown Reno,NV,US,2017-07-05,Facebook: 62 went,62,,62,,,Indivisible Northern Nevada,Against GOP healthcare bill,1,rally,0,0,0,0,0,1,http://www.resistandprotest.com/event/healthcare-town-hall-reno,,,,,,
Columbia,South Caroline State house,SC,US,2017-07-05,Facebook: 61 went,61,,61,,,Indivisible Midlands,Against GOP healthcare,1,protest,0,0,0,0,1,1,http://www.resistandprotest.com/event/american-values-rally-healthcare,,,,,,
Little Rock,"outside Sen. Cotton’s, Boozman’s offices",AR,US,2017-07-06,about 60,60,,60,,,general protestors,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://www.arkansasonline.com/news/2017/jul/07/scores-protest-health-care-bill-2017070-1/,http://www.nwaonline.com/news/2017/jul/07/scores-protest-health-care-bill-2017070-1/?latest,http://www.arkansasonline.com/news/2017/jul/07/scores-protest-health-care-bill-2017070-1/,,,,
Tampa,Hixon Park to Gibbons Courthouse,FL,US,2017-07-16,more than 60,60,,60,,,general protestors,Protesting NRA,1,protest,0,0,0,0,1,1,http://www.cltampa.com/news-views/local-news/article/20867850/activists-gather-to-protest-controversial-nra-ad-in-downtown-tampa,,,,,,
Minneapolis,Hiawatha Avenue and Lake Street,MN,US,2017-07-22,over 60,60,,60,,,Minnesota Peace Action Coalition,Say No to Endless U.S. Wars,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/7/20/minneapolis-july-22-protest-say-no-endless-us-wars,http://www.fightbacknews.org/2017/7/23/minneapolis-rallies-against-endless-us-wars,,,,,
Fort Wayne,Allen County Courthouse Green,IN,US,2017-07-24,about 60,60,,60,,,general protestors,Millions Marching for Medicare for All,1,protest; march,0,0,0,0,1,1,http://www.journalgazette.net/news/local/local-politics/20170725/60-at-rally-to-encourage-medicare-for-all,http://www.journalgazette.net/blog/political-notebook/20170720/medicare-for-all-rally-planned-downtown,,,,,
Louisville,outside Metro Hall,KY,US,2017-07-29,about 60,60,,60,,,Indivisible KY,Oppose GOP healthcare plan,1,rally,0,0,0,0,0,1,http://www.courier-journal.com/story/news/2017/07/29/indivisible-kentucky-rallies-health-care-wake-gop-bill-defeat/522674001/,http://www.wdrb.com/story/36002811/indivisible-kentucky-rallies-for-health-care-in-downtown-louisville,,,,,
Margate,beach at Delavan Avenue,NJ,US,2017-07-30,about 60,60,,60,,,general protestors,Oppose dune construction by the U.S. Army Corps of Engineers,0,protest,0,0,0,0,1,1,http://www.pressofatlanticcity.com/pac/crowds-protest-margate-dunes-over-public-health-concerns/article_d375fcbe-7ace-5a15-856f-326a268c4cbe.html,,,,,,
Idaho Falls,Snake River Pier,ID,US,2017-07-31,"about six dozen; a half-dozen members of Idaho Falls’ clergy, along with about 50 residents",56,,72,,,Idaho Falls Unitarian Universalist Church; Trinity United Methodist Church; New Day Lutheran Church; First Presbyterian Church; St. Luke’s Episcopal Church,Oppose racist flyers recently found in Idaho Falls,1,rally,0,0,0,0,1,1,http://www.localnews8.com/news/idaho-falls/idaho-falls-community-hold-anti-hate-rally-following-discovery-of-racist-flyers/596690548,http://www.postregister.com/articles/featured-news/2017/08/01/clergy-residents-rally-against-hate,,,,,
Winston-Salem,from Kimberley Park Elementary to Samaritan Ministries,NC,US,2017-07-19,about 55,55,,55,,,Kimberley Park Freedom School,Children’s Defense Fund’s 2017 National Day of Social Action,1,march,,,,,1,1,http://www.journalnow.com/news/local/winston-salem-students-march-on-day-of-social-action/article_ad915dfe-9b68-5766-bbde-6046c0acce91.html,,,,,,
Treasure Coast,Museum Point Park,FL,US,2017-07-02,Facebook: 51 went,51,,51,,,general protestors,Impeach Trump,1,,,,,,1,1,https://www.facebook.com/events/517691415287816/,,,,,,
Atlanta,Piedmont Park to Centennial Olympic Park,GA,US,2017-07-02,About 50,50,,50,,,general protestors,Impeach Trump,1,march,0,0,0,0,1,1,http://www.inquisitr.com/4341307/nationwide-people-are-joining-the-impeach-trump-march-of-2017/,,,,,,
Chicago,Federal Plaza,IL,US,2017-07-02,about 50,50,,50,,,general protestors; RefuseFacism.org,Impeach Trump,1,march,0,0,0,0,1,1,https://www.facebook.com/events/483866175287613/,http://chicago.suntimes.com/news/protesters-rally-against-trump-in-chicago/,,,,,
Palm Beach,Mar-a-lago Resort,FL,US,2017-07-02,About 50,50,,50,,,The Three Percenters Zone 6,Pro-Trump counter-protest,2,protest,0,0,0,0,0,1,http://www.palmbeachpost.com/news/local/the-gates-mar-lago-protesters-demand-trump-impeachment/tne5HPIpNXjXISvHDD9i3H/,http://www.palmbeachpost.com/news/local/the-gates-mar-lago-protesters-demand-trump-impeachment/tne5HPIpNXjXISvHDD9i3H/,http://www.palmbeachdailynews.com/news/local/the-gates-mar-lago-protesters-demand-trump-impeachment/tne5HPIpNXjXISvHDD9i3H/,,,,
Philadelphia,Walnut Street and up to Logan Circle,PA,US,2017-07-02,NA,50,,50,,,Proud Boys,Pro-Trump,2,march; protest,0,1,0,0,0,1,http://www.philly.com/philly/news/politics/presidential/heavy-police-oversight-at-trump-impeachment-rally-pro-trump-march-20170702.html,http://www.phillyvoice.com/trump-supporter-shares-details-alleged-assault-philadelphia-march/,http://westchester.news12.com/story/35800909/3-arrested-after-pro-trump-anti-trump-protesters-clash,,,,
Corpus Christi,Cole Park,TX,US,2017-07-04,about 50,50,,50,,,Brown Berets of Corpus Christi,Protesting TX SB4,1,protest,0,0,0,0,1,1,http://www.kiiitv.com/news/local/corpus-christi-residents-protest-state-sanctuary-city-law/454183308,,,,,,
Springfield,outside Sen. Roy Blunt's office,MO,US,2017-07-05,About 50,50,,50,,,general protestors,Oppose ACA repeal,1,die-in,,,,,1,1,http://www.news-leader.com/story/news/politics/2017/07/06/protesters-play-dead-rain-outside-blunts-office-oppose-gop-health-care-reform/451270001/,,,,,,
Pittsburgh,"Market Square, Sen. Toomey's office",PA,US,2017-07-06,over 50,50,,70,,,Pennsylvania Health Access Network,Against GOP healthcare,1,protest,0,0,0,0,1,1,http://www.post-gazette.com/news/health/2017/07/06/Health-care-protest-Market-Square-Pittsburgh-GOP-plan-Pat-Toomey-Republicans/stories/201707060179,,,,,,
Simi Valley,Rep. Knight's office,CA,US,2017-07-06,about 50,50,,50,,,Indivisible,Protesting Knight's heathcare bill vote,1,protest,0,0,0,0,1,1,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-democrats-protest-outside-rep-steve-1499411585-htmlstory.html,,,,,,
Wichita,from Urban Prep Academy to the Piatt neighborhood basketball court,KS,US,2017-07-08,NA,50,,50,,,NAACP; local community activists,Raise gun violence awareness,0,march,0,0,0,0,1,1,http://ksn.com/2017/07/08/community-activist-march-against-gun-violence/,,,Count from video,,,
Wilmington,Hilltop neighborhood,DE,US,2017-07-08,dozens,50,,50,,,Wilmington Peacekeepers,annual Children's Rally and Peace March to raise awareness about gun violence,0,march,0,0,0,0,1,1,http://www.delawareonline.com/story/news/local/2017/07/08/peacekeepers/461784001/,,,Estimate from picture,,,
Portsmouth,"walked from the Schiller plant in Portsmouth, NH to the Merrimack Station plant in Bow, NH",NH,US,2017-07-09,about 50,50,,50,,,Quakers,Climate pilgrimage in protest of coal-fired plants,1,march; railroad blockade,0,0,0,0,1,1,http://www.unionleader.com/Quakers-protest-Bow-coal-fired-plant,http://www.concordmonitor.com/quaker-protest-fossil-fuels-bow-11281373,http://www.unionleader.com/energy/Bow-Quakers-end-rail-blockade-protest-07162017,,,,
Oakland,Outside home of CEO of company tapped to build border wall,CA,US,2017-07-10,approximately 50,50,,50,,,general protestors,Protesting Trump's border wall construction,1,protest,0,0,0,0,1,1,http://www.eastbaytimes.com/2017/07/19/protesters-take-to-ceos-home-to-protest-president-trumps-vision-of-border-wall/,,,,,,
Ypsilanti,outside of Cross Street Village,MI,US,2017-07-12,NA,50,,50,,,Community members and residents,protesting rent hikes affordable housing communities,0,protest,0,0,0,0,1,1,http://www.wxyz.com/news/region/washtenaw-county/seniors-protest-plans-to-change-rental-rates-in-ypsilanti-building,http://www.mlive.com/news/ann-arbor/index.ssf/2017/07/seniors_with_walkers_wheelchai.html,,Estimate from pictures,,,
Kalamazoo,Congressman Upton's office,MI,US,2017-07-13,more than 50,50,,50,,,general protestors,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://wkzo.com/news/articles/2017/jul/14/healtcare-protest-as-debate-rages-on/,http://www.mlive.com/news/kalamazoo/index.ssf/2017/07/over_50_people_gathered_to_sta.html,,,,,
Washington,Outside McConnell's office - Capitol Hill,DC,US,2017-07-13,about 50,50,,50,,,Repairers of the Branch; North Carolina NAACP; United Church of Christ,Against GOP healthcare bill,1,rally; sit-in,11,0,0,0,1,1,http://www.newsobserver.com/news/politics-government/politics-columns-blogs/under-the-dome/article161200048.html,http://www.cleveland.com/metro/index.ssf/2017/07/cleveland_faith_leader_other_p.html,http://www.newsobserver.com/news/politics-government/politics-columns-blogs/under-the-dome/article161200048.html,,,,
Bedminster,Trump National Golf Club,NJ,US,2017-07-15,at least 50,50,,50,,,general protestors,Support Trump National Golf Club hosting U.S. Women's Open,2,rally,0,0,0,0,0,1,http://www.nj.com/somerset/index.ssf/2017/07/trump_supporters_protesters_face_off_at_rally_in_n.html,http://www.mycentraljersey.com/story/news/local/somerset-county/hot-topic/2017/07/15/womens-open-brings-anti-and-pro-trump-rallies-bedminster/479707001/,,,,,
Colorado Springs,City Hall,CO,US,2017-07-15,NA,50,,75,,,Black Lives Matter; NAACP; SURJ,Justice for Jesse rally to demand charges against killer,1,rally,0,0,0,0,1,1,https://www.csindy.com/coloradosprings/justice-for-jesse-rally-demands-charges/Content?oid=6411745,,,estimate from picture,,,
Colorado Springs,on the steps of City Hall,CO,US,2017-07-16,NA,50,,100,,,Justice4Jesse,commemorate anniversary of Jesse Garcia's unpunished killing,0,rally,0,0,0,0,1,1,http://www.koaa.com/story/35897642/timeline-taco-bell-shooting-a-year-ago-rally-held-for-jesse-garcia,,,Estimate from video,,,
Hastings,corner of 16th Street and Burlington Avenue,NE,US,2017-07-16,about 50,50,,50,,,general protestors,I Stand with Dreamers; oppose Nebraska’s Attorney General's request to end DACA,1,rally,0,0,0,0,1,1,http://www.hastingstribune.com/news/rally-shows-support-for-dreamers/article_e6006bca-6b0c-11e7-b0f8-37ddfb69e5f7.html,http://www.hastingstribune.com/news/dreamers-rally-to-be-held-sunday/article_02e73698-67e7-11e7-9002-079b6fd5a35e.html,,,,,
Washington,"Capitol Hill, incl. Hart Senate Office Building",DC,US,2017-07-17,NA,50,,50,,,Physicians for a National Health Program; Our Revolution,Kill the Bill; against GOP healthcare bill,1,protest; sit-in,33,0,0,0,1,1,https://www.washingtonpost.com/video/politics/activists-stage-protest-on-capitol-hill/2017/07/17/8a6e5354-6b29-11e7-abbc-a53480672286_video.html,http://www.huffingtonpost.com/entry/senate-health-care-protests_us_596d04ece4b010d77672f70d?3em&ncid=inblnkushpmg00000009,http://www.tennessean.com/story/news/2017/07/18/protester-who-disrupted-trumps-nashville-rally-arrested-dc/489820001/,Estimate from picture,,,
Durham,American Tobacco Trail Pedestrian Bridge,NC,US,2017-07-18,about 50,50,,50,,,Protecting Progress,Against Trumpcare,1,protest,0,0,0,0,1,1,http://www.newsobserver.com/news/local/counties/durham-county/article162270633.html,http://www.heraldsun.com/news/local/counties/durham-county/article162265388.html,,,,,
Oakland,outside Montclair neighborhood home of the CEO of CPM Logistics,CA,US,2017-07-19,Approximately 50,50,,50,,,general protestors,Demand company not submit bid for Trump’s Mexico-border wall,1,demonstration,0,0,0,0,1,1,http://www.eastbaytimes.com/2017/07/19/protesters-take-to-ceos-home-to-protest-president-trumps-vision-of-border-wall/,,,,,,
Waco,from Heritage Square up Austin Avenue,TX,US,2017-07-19,about 50,50,,50,,,Waco Independent School District sixth- and seventh-graders,Children Defense Fund's National Day of Socal Action,1,demonstration; march,0,0,0,0,1,1,http://www.wacotrib.com/news/downtown_waco/freedom-school-students-protest-federal-budget-proposals-in-national-day/article_ee1a8ce3-5f11-5768-8ee5-2995369957cf.html,,,,,,
Albuquerque,downtown,NM,US,2017-07-21,dozens,50,,50,,,NM Dream Team,Support DACA,1,rally,0,0,0,0,1,1,http://www.kob.com/albuquerque-news/advocates-rally-to-protect-daca/4549566/?cat=504,,,Estimate from video,,,
Lexington,in front of the Fayette County courthouses,KY,US,2017-07-22,about 50,50,,50,,,organizer Melissa Wallace,National March for Public Education,1,rally,0,0,0,0,1,1,http://www.kentucky.com/news/local/counties/fayette-county/article163109063.html,,,,,,
Roanoke,Roanoke College,VA,US,2017-07-22,NA,50,,50,,,Senator Tim Kaine,Save the ACA,1,rally,0,0,0,0,1,1,http://www.wdbj7.com/content/news/Numbers-gather-at-Kaine-Rally-to-show-support-for-the-ACA-436195913.html,http://www.roanoke.com/news/politics/kaine-to-host-health-care-rally-at-roanoke-college-saturday/article_b712dee2-2375-569e-9706-f570b1fff87a.html,,Estimate from video,,,
Birmingham,Birmingham offices of Sens. Luther Strange and Richard Shelby,AL,US,2017-07-24,about 50,50,,50,,,Birmingham Indivisible,Oppose Senate health care procedural vote,1,protest,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2017/07/birmingham_indivisible_protest.html,,,,,,
Austin,from 15th and Lavaca St to the State Capitol,TX,US,2017-07-26,dozens; about 50,50,,50,,,Movimiento Cosecha,Demand the protection of the DACA program,1,march; road blockade,15,0,0,0,1,1,https://www.texasobserver.org/15-protesters-arrested-demonstration-defending-daca-texas-capitol/,http://www.khou.com/news/pro-daca-protesters-march-through-downtown-austin/459758521,http://www.aljazeera.com/news/2017/07/texas-police-arrest-daca-recipients-austin-protest-170726233212923.html,,,,
Washington,The White House,DC,US,2017-07-26,More than 100; around 50,50,,100,,,general protestors,Oppose military transgender ban,1,protest,0,0,0,0,1,1,http://abcnews.go.com/US/protesters-rally-trumps-transgender-military-ban/story?id=48876355,https://www.dailydot.com/irl/trump-ban-transgender-protest/,,,,,
Los Angeles,Parish Courthouse,CA,US,2017-07-28,about 50,50,,50,,,general protestors,Protesting police shooting of man,0,protest,0,0,0,0,0,1,http://www.dailyworld.com/picture-gallery/news/local/2017/07/28/ville-platte-justice-rally/104083996/,,,,,,
Asheville,"Vance Monument, Pack Square",NC,US,2017-07-29,over 50,50,,50,,,Our Lives on the Line; local Women's March affiliates,Rally & March to Protect Medicare & Medicaid,1,rally; march,0,0,0,0,1,1,https://mountainx.com/blogwire/health-care-demonstration-and-rally-will-be-held-july-29/,http://wlos.com/news/local/our-live-on-the-line-brings-health-care-debate,,,,,
El Paso,from the Federal Court Building to San Jacinto Plaza,TX,US,2017-07-29,about 50,50,,50,,,organizer Ray Dominguez,Resist and Support rally to oppose Trump's transgender military ban,1,rally; march,0,0,0,0,1,1,http://krwg.org/post/rally-support-transgender-military-community-saturday-el-paso,http://www.theprospectordaily.com/2017/07/29/transgender-rights-advocates-march-through-downtown-in-protest/,http://www.elpasotimes.com/story/news/local/community/2017/07/29/resist-support-rally-takes-stand-against-presidents-tweet/522931001/,,,,
Gulfport,Jones Park,MS,US,2017-07-29,over 50,50,,50,,,Mississippi Rising Coalition,Oppose Mississippi's confederate-style flag,1,protest,0,0,0,0,1,1,http://www.sunherald.com/news/local/counties/harrison-county/article164451312.html,http://www.clarionledger.com/story/news/politics/2017/07/31/flag-protesters-send-message-southern-legislators-jones-park/526248001/,http://msbusiness.com/2017/07/confederate-emblem-protested-outside-legislative-conference/,,,,
New Orleans,around Decatur Street and Esplanade Avenue in the French Quarter,LA,US,2017-07-29,approximately 50,50,,50,,,general protestors,anti-Sharia law,2,protest,4 (total pro and anti),0,0,0,0,1,http://www.nola.com/crime/index.ssf/2017/07/4_arrested_in_french_quarter_p.html,http://www.wdsu.com/article/nopd-arrests-4-at-french-quarter-protest/10381685,,,,,
Palm Springs,Frances Stevens Park,CA,US,2017-07-29,fewer than 50,50,,50,,,Planned Parenthood of the Pacific Southwest office,Support Planned Parenthood and the ACA,1,rally,0,0,0,0,1,1,http://www.desertsun.com/picture-gallery/news/2017/07/29/palm-springs-rally-in-support-of-plan-parenthood-and-aca/104107734/,http://www.desertsun.com/story/news/local/palm-springs/2017/07/30/planned-parenthood-others-celebrate-failed-attempt-repeal-obamacare-rally-palm-springs/521192001/,,,,,
Pikeville,Coal Run park,KY,US,2017-07-29,NA,50,,100,,,Kentuckians for the Commonwealth,Rally for healthcare,1,rally,0,0,0,0,1,1,http://www.wymt.com/content/news/Community-rallies-for-health-care-437385713.html,,,estimate from video,,,
Canton,,MS,US,2017-07-30,NA,50,,100,,,Mississippi Alliance for Fairness,Rallying to unionize Nissan employees,0,rally,0,0,0,0,1,1,http://www.msnewsnow.com/story/36006012/nissan-workers-hoping-to-unionize-hold-rally,,,estimate from video,,,
Jackson,State building,MS,US,2017-07-30,about 50,50,,50,,,general protestors,Protesting confederate symbol on MS flag,0,protest,0,0,0,0,1,1,http://www.startribune.com/confederate-emblem-protested-outside-legislative-conference/437692703/,,,,,,
Asheville,Pack Square Park,NC,US,2017-07-02,Facebook: 45 went,45,,45,,,general protestors,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/1798407380487786/,,,,,,
