CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Newark,Newark Liberty Airport,NJ,US,2017-07-11,hundreds,200,,200,,,American Airline employees,Protesting unfair working conditions,0,protest; strike,0,0,0,0,1,1,http://newjersey.news12.com/story/35862766/airport-workers-strike-to-protest-unfair-labor-practices,,,,,,
Minneapolis,from Northside Achievement Zone to the Minneapolis Community and Technical College,MN,US,2017-07-13,more than 200,200,,200,,,Northside Achievement Zone,Path to College Walk,0,march,0,0,0,0,1,1,https://www.minnpost.com/education/2017/07/students-north-minneapolis-rally-change-perceptions-who-college-bound,,,,,,
Annapolis,from Wiley H. Bates Middle School to City Dock,MD,US,2017-07-14,over 200,200,,200,,,Organizer Da'Juan Gay,Anti-racism,0,march,0,0,0,0,1,1,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-solidarity-march-0716-20160715-story.html,,,,,,
Fairfax,Outside NRA headquarters to the Department of Justice,VA,US,2017-07-14,hundreds,200,,200,,,Women's March; Newtown Action Alliance; Pride Fund to End Gun Violence,Protesting NRA,1,rally; march,0,0,0,0,1,1,https://www.washingtonpost.com/local/womens-march-organizers-plan-friday-protest-of-the-nra-and-a-17-mile-march-to-the-justice-department/2017/07/14/a7c6d0ee-50c4-402c-9d51-b704c8d22a36_story.html?utm_term=.a78c98748c8c,http://www.wgrz.com/news/womens-march-organizers-take-on-nra-in-next-march/454799654,http://www.newstimes.com/local/article/Sandy-Hook-group-urges-support-of-march-vs-NRA-11281315.php,,,,
Boise,from the statehouse to the Anne Frank Memorial,ID,US,2017-07-15,hundreds,200,,200,,,general protestors,Rise Up against GOP healthcare plan,1,march,0,0,0,0,1,1,http://www.idahostatesman.com/news/local/article161665243.html,,,,,,
Las Vegas,Rainbow Gardens,NV,US,2017-07-15,hundreds,200,,200,,,general protestors,Support defendants facing trial in the Bunkerville standoff case,0,rally,0,0,0,0,0,1,https://www.reviewjournal.com/news/bundy-blm/rallies-support-defendants-in-bunkerville-standoff-case/,,,,,,
Des Moines,Simon Estes Amphitheater,IA,US,2017-07-16,a couple of hundred,200,,200,,,Bosniak American Association of Iowa,Call for world peace on the 22nd anniversary of the Srebrenica massacre,0,rally,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/2017/07/16/des-moines-rally-memorializes-thousands-killed-bosnian-war/103753694/,,,,,,
Radford,Bissett Park,VA,US,2017-07-16,hundreds,200,,200,,,NRV Indivisble,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://www.wsls.com/news/virginia/new-river-valley/hundreds-gather-to-protest-aca-replacement-bill,,,,,,
Austin,State Capitol,TX,US,2017-07-17,hundreds,200,,200,,,general protestors,against bathroom bill; pro-Transgender rights,0,protest,0,0,0,0,0,1,http://www.ksat.com/news/politics/silent-protest-marks-opening-of-texas-legislature-special-session,,,,,,
Columbus,town meeting,OH,US,2017-07-17,about 200,200,,200,,,"Black, Queer & Intersectional Columbus",Protesting lack of response to violence against LGBT people of color,0,protest,0,0,0,0,1,1,http://radio.wosu.org/post/protesters-take-over-stonewall-columbus-meeting#stream/0,,,,,,
Ann Arbor,March through downtown,MI,US,2017-07-18,hundreds,200,,200,,,general protestors,Protesting potential deportation of Ann Arbor woman,1,protest,0,0,0,0,1,1,http://www.wxyz.com/news/region/washtenaw-county/huge-crowd-gathers-to-protest-possible-deportation-of-ann-arbor-woman,,,,,,
Austin,state capitol,TX,US,2017-07-18,hundreds,200,,200,,,Keep Austin Proud; Mexican American Legislative Caucus; Keep Texas Open Coalition,One Texas Resistance Rally,1,protest,,,,,1,1,http://www.khou.com/news/politics/protests-scatter-capitol-on-1st-day-of-special-session/457742621,http://www.kvue.com/news/politics/protests-scatter-capitol-on-1st-day-of-special-session/457724801,,,,,
Raleigh,downtown,NC,US,2017-07-18,hundreds,200,,200,,,general protestors,Rallying for an MLS team in NC,0,rally,0,0,0,0,1,1,http://www.newsobserver.com/sports/soccer/north-carolina-fc-courage/article162569293.html,,,,,,
Seattle,Outside KeyArena,WA,US,2017-07-18,hundreds,200,,200,,,general protestors,Rallying for Planned Parenthood,1,rally,0,0,0,0,1,1,http://www.seattletimes.com/sports/storm/seattle-storm-holds-pregame-rally-supporting-planned-parenthood-amid-mild-protest/,,,,,,
Washington,Israeli Embassy,DC,US,2017-07-18,some 200,200,,200,,,American Jews,Protesting decision to nix Western Wall plan,0,protest,0,0,0,0,1,1,http://www.haaretz.com/israel-news/.premium-1.802204,,,,,,
Washington,Capitol Hill,DC,US,2017-07-19,NA,200,,300,,,Rights & Democracy Vermont,"Kill the bill, not us",1,protest,155,0,0,0,0,1,http://www.vermontbiz.com/news/july/vermonters-join-national-protest-kill-bill-dont-kill-us,http://www.cnn.com/2017/07/19/politics/protesters-senate-offices/index.html,http://www.metro.us/news/local-news/new-york/nyc-council-member-arrested-killthebill-healthcare-protest-dc,,,,
