lon,lat,City,Location,State,Country,Date,EstimateText,EstimateLow,BestGuess,Attendance,Movement,Cause,AdjustedLow,AdjustedHigh,Actor,Description,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
-77.0366456,38.8949549,Washington,Upper Senate Park,DC,US,2017-07-13,"700 to 1,400 people are expected",700,,1400,Environmental & Food Justice ,Climate Justice,,,Moms Clean Air Force,Oppose Trump's decision to pull America out of the Paris Climate Agreement,1,rally,0,0,0,0,0,1,http://triblive.com/local/allegheny/12499078-74/western-pa-families-headed-to-dc-for-moms-clean-air-force-demonstration,,,,,,
-83.0567375,42.3486635,Detroit,Clark Park,MI,US,2017-07-22,more than 1000,1000,,1000,U.S. Politics,Education Funding,,,organizer Erica Foondle,National March for Public Education,1,rally; march,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/detroit/2017/07/22/public-education-detroit-rally/502189001/,http://www.detroitnews.com/story/news/local/detroit-city/2017/07/22/detroit-national-march-education-rally/103915084/,http://www.freep.com/story/news/local/michigan/detroit/2017/07/22/public-education-detroit-rally/502189001/,,,,
-117.1627714,32.7174209,San Diego,San Diego Convention Center,CA,US,2017-07-22,about 1000,1000,,1000,U.S. Politics,Politician Support,,,Rep. John Lewis,"Advertise Lewis's book ""March"" book series",0,march,0,0,0,0,1,1,http://www.ketv.com/article/civil-rights-icon-leads-march-through-san-diego-comic-con/10347391,http://www.morganton.com/entertainment/ap/civil-rights-icon-leads-march-through-california-comic-con/article_1ceee890-971b-5c4e-829b-d3792f7e2cc3.html,http://wsvn.com/news/politics/civil-rights-icon-leads-march-through-california-comic-con/,,,,
-90.1767149159888,30.001852,Metairie,Pontiff Playground,LA,US,2017-07-16,more than 700,700,,700,Other,International Politics,,,Venezuela Free and Democratic,symbolic plebiscite against the Venezuelan president,0,demonstration,0,0,0,0,1,1,http://www.nola.com/politics/index.ssf/2017/07/700_venezuelans_voted_in_a_glo.html,,,,,,
151.499496964417,-32.8660752,Richmond,Grace Street,VA,US,2017-07-16,more than 700,700,,700,Other,International Politics,,,Democratic Unity Opposition Coalition,symbolic plebiscite against the Venezuelan president,0,demonstration,0,0,0,0,1,1,http://wtvr.com/2017/07/16/venezuelans-turn-out-for-opposition-plebiscite-vote-richmond-grace-street/,,,,,,
Error,Error,Winekta,Downtown,IL,US,2017-07-25,about 600,600,,600,U.S. Politics ,Anti-Budget Cuts,,,general protestors,Protesting cuts to daycare assistance,0,protest,0,0,0,0,1,1,http://chicago.suntimes.com/chicago-politics/hundreds-take-to-the-streets-of-winnetka-to-protest-daycare-cuts/,,,,,,
-97.0780654,32.9342919,Grapevine,Dallas-Fort Worth Airport,TX,US,2017-07-26,estimated 600,600,,600,Workers & Labor Rights,Living Wages,,,Transport Workers Union,Demand American Airlines provide higher pay and stop shifting maintenance work overseas,0,protest,0,0,0,0,1,1,http://abcnews.go.com/Business/wireStory/american-airlines-workers-protest-pay-outsourcing-48866799,http://lufkindailynews.com/news/state/article_4481bf28-f1c2-5cdc-8c60-49a3a86de43c.html,,,,,
-89.9750054503052,30.03280175,New Orleans,Duncan Plaza,LA,US,2017-07-02,Facebook: 529 went,529,,529,U.S. Politics ,Politician Opposition,,,general protestors,Impeach Trump,1,march,,,,,1,1,https://www.facebook.com/events/830504833780952/,,,,,,
-84.508371,39.0836224,Covington,Northern Kentucky Convention Center,KY,US,2017-07-09,NA,200,,500,U.S. Politics ,Anti-Budget Cuts,,,Sen. Bernie Sanders,Care Not Cuts,1,rally,0,0,0,0,1,1,http://www.washingtonexaminer.com/bernie-sanders-plans-rallies-in-red-states-to-oppose-senate-gop-healthcare-proposal/article/2627841,http://www.courier-journal.com/story/news/politics/2017/07/07/bernie-sanders-plans-kentucky-rally-against-health-care-bill-mcconnell-fights-votes/458910001/,http://www.mynbc5.com/article/sen-bernie-sanders-holds-healthcare-rally-in-kentucky/10283896,Esimate from video,,,
-79.9559437,39.6296809,Morgantown,Morgantown Event Center,WV,US,2017-07-09,NA,200,,500,U.S. Politics ,Anti-Budget Cuts,,,Sen. Bernie Sanders; Mountaineers for Progress,Care Not Cuts,1,rally,0,0,0,0,1,1,http://www.washingtonexaminer.com/bernie-sanders-plans-rallies-in-red-states-to-oppose-senate-gop-healthcare-proposal/article/2627841,http://www.dominionpost.com/Sanders-to-host-health-care-rall,http://www.dominionpost.com/Sen--Sanders-slams-GOP-health-ca,Estimate from pictures,,,
