CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Dallas ,Continental Avenue Pedestrian Bridge ,TX ,US,2017-11-08,FB: 266; more than 200; hundreds,200,,266,,,general protestors,Screaming protest ,1,protest ,0,0,0,0,1,1,http://dfw.cbslocal.com/2017/11/08/scream-at-the-sky-event-planned-for-wednesday-night/,http://dfw.cbslocal.com/2017/11/08/scream-at-the-sky-event-planned-for-wednesday-night/,https://www.facebook.com/events/1500256566733782/,,,
Floresville,High School,TX,US,2017-11-08,hundreds,200,,200,,,general protestors,Vigil for those killed in shooting; rallying against violence,0,rally,0,0,0,0,1,1,http://www.arklatexhomepage.com/news/hundreds-attend-vigil-for-victims-of-church-shooting/854000158,,,,,
Lakewood,Colorado Christian University,CO,US,2017-11-08,hundreds,200,,200,,,general protestors,Rallying behind baker who refused to make wedding cake for gay couple,2,rally,0,0,0,0,1,1,http://www.ktvq.com/story/36800440/hundreds-rally-for-colorado-man-who-refused-to-make-wedding-cake-for-gay-couple,,,,,
New York,Washington Square Park,NY,US,2017-11-08,hundreds,200,,200,,,Refuse Fascism,screaming protest ,1,protest,0,0,0,0,1,1,http://www.foxnews.com/us/2017/11/09/anti-trump-protesters-scream-helplessly-at-sky-to-demonstrate-on-election-anniversary.html,,,,,
Oklahoma City,Santa Fe HS,OK,US,2017-11-08,hundreds,200,,200,,,high school students,Protesting Inaction for DACA recipients,1,walk out,0,0,0,0,0,1,http://www.tulsaworld.com/news/state/oklahoma-city-students-stage-walkout-in-protest-of-daca-termination/article_7ada6223-4405-52ad-a9ee-dfd08fbf671e.html,,,,,
San Antonio,5 Diamonds Park,TX,US,2017-11-08,hundreds,200,,200,,,general protestors,vigil for boy shot; rally against violence,0,rally,0,0,0,0,1,1,https://www.ksat.com/news/hundreds-attend-vigil-for-3-year-old-boy-killed-in-highway-shooting-1,,,,,
Tampa,Jefferson High School,FL,US,2017-11-08,hundreds,200,,200,,,Students,Rallying for higher teacher salaries,0,rally; walk-out,0,0,0,0,1,1,http://www.wtsp.com/news/education/tampa-high-school-students-protest-in-support-of-teacher-salary-raises/490179918,,,,,
Warren,Andioma's Banquet and Event Center,MI,US,2017-11-08,about 200,200,,200,,,general protestors,Protesting appearance by Steve Bannon,1,protest,0,0,0,0,1,1,http://www.record-eagle.com/state/suburban-detroit-city-preparing-for-bannon-speech-protest/article_90e2ad17-8b3b-5035-bcd7-9f45efb937c4.html,http://www.detroitnews.com/story/news/local/macomb-county/2017/10/21/warren-steve-bannon/106884110/,http://www.arabamericannews.com/2017/11/10/protest-over-steve-bannon-takes-place-outside-macomb-county-republican-partys-unity-dinner/,,,
Bloomington,Yellowwood State Forrest,IN,US,2017-11-09,hundreds,200,,200,,,Indiana Forrest Alliance,Protesting logging in forrest,0,protest,0,0,0,0,1,1,http://wfhb.org/news/night-owls-protest-yellowwood-logging/,,,,,
Nashville,Yellowwood State Forest Office,IN,US,2017-11-09,about 200,200,,200,,,general protestors,Protesting the sale of trees from Yellowwood state park to logging,0,protest,0,0,0,0,1,1,http://www.jconline.com/story/news/2017/11/09/dnr-receives-150-k-offer-preserve-yellowwood-sells-logging-company-less/845631001/,https://www.indystar.com/story/news/2017/11/09/dnr-receives-150-k-offer-preserve-yellowwood-sells-logging-company-less/845631001/,http://www.tribstar.com/news/indiana_news/timber-sale-at-indiana-forests-goes-ahead-despite-protest/article_e9c10a00-590d-5c50-9cd3-35261ea52658.html,,,
New Haven,College St.,CT,US,2017-11-09,NA,200,,200,,,Make the Road CT,Rallying for a clean DREAM Act,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/893611387487226/,https://yaledailynews.com/blog/2017/11/10/students-rally-for-clean-dream-act/,,,,
Oklahoma City,Santa Fe High School,OK,US,2017-11-09,hundreds,200,,200,,,Students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/oklahoma/articles/2017-11-10/oklahoma-city-students-call-for-immigration-reform,,,,,
Washington,Senate building,DC,US,2017-11-09,hundreds,200,,200,,,Students,Rallying for DREAM Act,1,rally,15,0,0,0,1,1,https://www.nbcnews.com/news/latino/students-stage-walkouts-rally-congress-demand-dream-act-n819346,https://www.dailykos.com/stories/2017/11/9/1714264/--Paul-Ryan-show-yourself-Hundreds-of-Dreamers-allies-march-on-Capitol-Hill-for-clean-DREAM-Act,https://www.nbcnews.com/news/latino/students-stage-walkouts-rally-congress-demand-dream-act-n819346,,,
Charleston,Hagood Stadium,SC,US,2017-11-10,About 200; more than 100,200,,200,,,general protestors,Protesting appearance by Steve Bannon,1,protest,0,0,0,0,1,1,http://www.postandcourier.com/news/crowd-of-about-protests-steve-bannon-s-talk-at-the/article_35a08b4a-c631-11e7-892b-0357d784224a.html,http://www.postandcourier.com/news/crowd-of-about-protests-steve-bannon-s-talk-at-the/article_35a08b4a-c631-11e7-892b-0357d784224a.html,http://www.live5news.com/story/36816903/security-increased-ahead-of-bannons-speech-at-the-citadel,,,
Minneapolis,South Minneapolis,MN,US,2017-11-10,hundreds,200,,200,,,Students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest; walk-out,0,0,0,0,1,1,http://www.fox9.com/news/minneapolis-students-walk-out-to-protest-daca-decision,,,,,
Chesire ,Cheshire First Congregational Church,CT,US,2017-11-12,hundreds ,200,,200,,,general protestors,Protesting deportation of community member ,0,protest ,0,0,0,0,1,1,http://wtnh.com/2017/11/12/vigil-held-in-cheshire-for-mother-of-3-fighting-deportation/,http://wtnh.com/2017/11/10/politicians-helping-mother-of-three-fight-deportation/,,,,
Los Angeles,Hollywood Boulevard ,CA,US,2017-11-12,several hundreds; about 200 to 300; hundreds,200,,300,,,The HEART Women and Girls Project ,Protesting sexual assault ,0,march ,0,0,0,0,1,1,https://www.facebook.com/events/2043643159297870/,http://www.latimes.com/local/lanow/la-me-ln-me-too-march-20171111-story.html,http://abcnews.go.com/Entertainment/wireStory/hundreds-hollywood-march-sexual-harassment-51103716,http://kval.com/news/entertainment/hundreds-in-hollywood-march-against-sexual-harassment,,
New York ,New York Public Library ,NY ,US,2017-11-12,hundreds,200,,200,,,IfNotNow NYC ,Protesting Steven Bannon's visit ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/1978807355668582/,http://jewishcurrents.org/hundreds-of-young-jews-challenge-bannon-at-zoa-gala/,,,,
Columbus,Ohio State University,OH,US,2017-11-13,hundreds,200,,200,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.thelantern.com/2017/11/ohio-state-students-gather-to-protest-latest-gop-tax-bill/,,,,,
Philadelphia,Center City,PA,US,2017-11-13,several hundreds,200,,200,,,general protestors,Protesting prison sentence for Meek Mill,0,protest,0,0,0,0,0,1,http://www.pennlive.com/philadelphiaeagles/index.ssf/2017/11/5_philadelphia_eagles_rick_ros.html,https://www.huffingtonpost.com/entry/meek-mill-philadelphia-rally_us_5a0ad981e4b00a6eece3fe1c,,,,
Butte,Covellite Theatre,MT,US,2017-11-14,more than 200,200,,200,,,Restore Our Creek Coalition,Rallying for government to clean creek,0,rally,0,0,0,0,1,1,http://www.kbzk.com/story/36852775/butte-rally-focuses-on-creek-restoration-cleanup,,,,,
Hillsborough County,,FL,US,2017-11-14,hundreds,200,,200,,,general protestors,Rallying for pay increases for teachers,0,rally,0,0,0,0,1,1,http://wfla.com/2017/11/14/teachers-students-protest-teacher-pay-at-hillsborough-school-board-meeting/,,,,,
Otero,Holloman Air Force Base,NM,US,2017-11-14,more than 200,200,,200,,,general protestors,Protesting extended training flyovers,0,protest,0,0,0,0,1,1,http://www.scdailypress.com/site/2017/11/17/opponents-rally-against-air-force-plan/,,,,,
Palo Alto,Stanford University,CA,US,2017-11-14,hundreds; more than 340,200,,340,,,general protestors,Protesting speech by Robert Spencer; protesting Islamaphobia,1,protest,0,0,0,0,1,1,https://paloaltoonline.com/news/2017/11/15/protesters-stage-walkout-on-controversial-lecturer,https://stanfordreview.org/rally-against-islamophobia-exposes-the-double-standards-of-the-campus-left/,,,,
Westfield,Westfield State University,MA,US,2017-11-14,hundreds,200,,200,,,general protestors,Protesting racism on campus,0,protest,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/11/hundreds_walk_out_at_westfield.html,,,,,
Coweta County,Garland Shoemake Stadium,GA,US,2017-11-16,hundreds,200,,200,,,Coweta Fellowship of Christian Athletes ,Protesting lack of school prayer; church and state relationship,0,demonstration,0,0,0,0,1,1,http://times-herald.com/news/2017/11/prayer-rally-challenges-students-to-become-active-players-in-their-faith,,,,,
Fargo,Broadway,ND,US,2017-11-16,hundreds,200,,200,,,general protestors,Rallying for pancreatic cancer awareness,0,rally,0,0,0,0,1,1,https://www.wday.com/news/4360961-hundreds-participate-annual-pancreatic-cancer-vigil-and-walk,,,,,
Minneapolis,University of Minnesota,MN,US,2017-11-17,over 200,200,,200,,,general protestors,"Rallying for higher wages, better working conditions for University employees",0,rally,0,0,0,0,1,1,http://www.mndaily.com/article/2017/11/n-over-200-union-protesters-take-to-morrill-hall,,,,,
Goshen,Elkhart County Courthouse,IN,US,2017-11-18,some of the hundreds ,200,,200,,,general protestors,Protesting potential new ICE facility,1,protest,0,0,0,0,1,1,http://www.wndu.com/content/news/Rally-held-in-Goshen-to-protest-potential-ICE-facility-458546833.html,https://www.southbendtribune.com/news/local/rally-in-goshen-for-immigrants-and-refugees/article_7b32ad47-5d61-56fd-baf5-2cdb60368301.html,http://www.wndu.com/content/news/Rally-held-in-Goshen-to-protest-potential-ICE-facility-458546833.html,,,
Laguna Beach,Huntington Beach Pier,CA,US,2017-11-18,hundreds,200,,200,,,general protestors,Protesting nuclear waste facility,1,protest,0,0,0,0,1,1,http://www.ocregister.com/2017/11/24/surfers-taking-stand-against-san-onofre-nuclear-waste-burial-plan-with-protest-planned-saturday-in-huntington-beach/,,,,,
Pensacola,Veteran's Memorial Park,FL,US,2017-11-18,at least 200,200,,200,,,EcaRosa Coalition on the Homeless,Rallying for rights for the homeless ,0,rally,0,0,0,0,1,1,http://weartv.com/news/local/path-of-light-homeless-persons-candlelight-vigil,,,,,
Saint Augustine,,FL,US,2017-11-18,hundreds,200,,200,,,general protestors,Protesting confederate monuments,1,protest,0,0,0,0,1,1,http://www.firstcoastnews.com/news/local/protesters-gather-at-nights-of-lights-in-st-augustine-in-opposition-of-confederate-monuments/492957599,,,,,
Washington ,U.S. Capitol ,DC,US,2017-11-19,hundreds; thousands; FB: 1400,200,,2000,,,Unity March for Puerto Rico ,Puerto Rico Unity March/ Protest Inaction by Trump Admin.,1,march ,0,0,0,0,1,1,https://twitter.com/KellieMeyerNews/status/932271465088548865,https://www.facebook.com/events/321995391543084/,https://www.washingtonpost.com/news/local/wp/2017/11/19/puerto-rico-unity-march-draws-thousands-to-mall-in-plea-for-disaster-aid/?utm_term=.4d79ece10b8c,https://www.pbs.org/newshour/nation/thousands-march-in-show-of-support-for-puerto-rico,,
Fairbanks,University of Alaska-Fairbanks,AK,US,2017-11-20,nearly 200,200,,200,,,Students,Rallying for trans rights,1,rally,0,0,0,0,1,1,http://www.webcenter11.com/content/news/Transgender-community-holds-remembrance-vigil-459231763.html,,,,,
Rockford,Giovanni's,IL,US,2017-11-21,hundreds,200,,200,,,Make America Great Illinois,Rallying for Trump,2,rally,0,0,0,0,1,1,http://www.rrstar.com/news/20171121/make-america-great-again-rally-comes-to-rockford-drawing-hundreds,,,,,
Henrico County,,VA,US,2017-11-22,hundreds,200,,,200,,general protestors,Rally for domestic abuse victims,0,rally,0,0,0,0,1,1,http://wtvr.com/2017/11/22/my-heart-is-broken-hundreds-gather-for-vigil-to-remember-mom-and-son-killed/,,,,,
Plymouth,Plymouth Rock,MA,US,2017-11-22,hundreds,200,,200,,,indigenous people,Protesting genocide of indigenous people,1,protest,0,0,0,0,1,1,https://www.telesurtv.net/english/news/-National-Day-of-Mourning-Anti-Thanksgiving-Protest-in-Plymouth-20171123-0014.html,,,,,
Los Angeles,Rodeo Dr.,CA,US,2017-11-24,more than 200,200,,200,,,Last Chance for Animals,Protesting use of fur in fashion,0,protest,0,0,0,0,1,1,http://markets.businessinsider.com/news/stocks/Celebrities-and-Animal-Rights-Activists-Protest-Fur-During-Annual-Fur-Free-Friday-Demonstration-in-Beverly-HillsActresses-Mena-Suvari-and-Donna-D-Errico-marched-with-hundreds-of-activists-along-1009418950,,,,,
