CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Washington ,U.S. Capitol,DC,US,2017-11-14,FB: 98,98,,98,,,"Human Rights Campaign Greater Washinton, DC Steering Committee ",Rally to stop Jeff Mateer,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/181210979123340/,https://www.resistandprotest.com/event/rally-stop-jeff-mateer,,,,
Champaign,Burnham Mansion.,IL,US,2017-11-30,about 90,90,,90,,,Preservation and Conservation Association of Champaign County ; general protestors,Conserve Burnham Mansion,0,rally,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2017-12-01/small-crowd-rallies-save-burnham-mansion-unit-4s-wrecking-ball.html,,,,,
Laguna Beach,,CA,US,2017-11-18,nearly 80,80,,80,,,general protestors,Protesting plans to dispose waste in neighborhood,0,protest,0,0,0,0,0,1,http://www.ocweekly.com/news/activists-protest-san-onofre-nuclear-waste-burial-plans-8585808,,,,,
New Haven,Elm St.,CT,US,2017-11-20,FB: 80 went,80,,80,,,New Haven Pride Center,Ralling for trans rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1979964742278453/,,,,,
Austin,State Capitol,TX,US,2017-11-04,NA,75,,75,,,general protestors,Counter-protest; pro-Trump,2,protest,0,0,0,0,0,1,http://www.statesman.com/news/local/antifa-protest-begin-austin-city-hall/ms3IzHMDA4JcEbo5AE5iiP/,,,,,
Boston,JFK federal building,MA,US,2017-11-08,NA,75,,75,,,general protestors,Protesting ICE detention,1,protest,0,0,0,0,1,1,https://twitter.com/CosechaMovement/status/928390950476423169,,,,,
Jacksonville,University of North Florida,FL,US,2017-11-20,approximately 75; dozens,75,,75,,,general protestors,Protesting school for not shutting down institutional racism,0,protest,0,0,0,0,1,1,http://jacksonville.com/news/public-safety/2017-11-20/dozens-rally-against-white-supremacy-unf-hearing-suspended-student,https://www.news4jax.com/news/local/jacksonville/unf-preparing-for-kkk-rally-in-support-of-suspended-student__,https://unfspinnaker.com/63180/news/ospreys-versus-nazis-showdown-outside-of-suspended-student-discipline-hearing/,,,
Sheboygan,Outside County Courthouse,WI,US,2017-11-02,more than 70,70,,70,,,general protestors,"Rallying for ""court integrity""",0,rally,0,0,0,0,1,1,http://www.sheboyganpress.com/story/news/2017/11/02/sheboygan-demonstrators-urge-integrity-courts/826390001/,,,,,
Vancouver,Vancouver Landing Ampiththeater,WA,US,2017-11-11,more than 70,70,,70,,,general protestors,Protesting city's lack of accountablity in recent sewage spills,0,protest,0,0,0,0,1,1,https://www.columbian.com/news/2017/nov/11/tribes-environmental-groups-protest-recent-sewage-spills/,,,,,
Elkins,City Council,WV,US,2017-11-16,more than 70,70,,70,,,general protestors,Protesting increased sales tax,0,protest,0,0,0,0,1,1,http://www.theintermountain.com/news/local-news/2017/11/business-leaders-rally-against-sales-tax/,,,,,
Providence,State House,RI,US,2017-11-25,about 70; about 75,70,,75,,,Indivisible RI,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/811289622388586/,http://www.providencejournal.com/news/20171125/protest-of-gop-tax-plan-draws-100-to-ri-state-house--photos-video,http://turnto10.com/news/local/rally-at-ri-state-house-in-protest-of-gop-tax-plan,,,
Montgomery,State Capitol,AL,US,2017-11-28,about 70,70,,70,,,general protestors,Protesting Roy Moore,1,protest,0,0,0,0,1,1,http://www.montgomeryadvertiser.com/story/news/politics/southunionstreet/2017/11/28/rally-against-roy-moore-fears-future-lgbt-rights/901050001/,,,,,
Allentown ,Representative Pat Toomey's office ,PA,US,2017-11-28,FB: 68,68,,68,,,POWER Northeast ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://act.indivisible.org/event/local-actions/7392/signup/?akid=&zip=&source=,https://www.facebook.com/events/127666014584271/,,,,
New York,Linden Blvd,NY,US,2017-11-20,FB: 65 went,65,,65,,,general protestors,Protesting against cop who killed area man,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/892422134249059/,,,,,
Los Angeles,Sen. Feinstein's office,CA,US,2017-11-27,FB: 65,65,,65,,,Indivisible of Sherman Oaks,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1977395219172771/,,,,,
New York,Macy's on 34th,NY,US,2017-11-24,FB: 64 went,64,,64,,,general protestors,Protesting use of fur in fashion,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/719180241601303/,,,,,
Topeka,Outside law enforcement center,KS,US,2017-11-02,60 (pic),60,,60,,,general protestors,Demanding justice in death of area man by police,0,protest,0,0,0,0,1,1,http://www.wibw.com/content/news/Dominique-Whites-family--friends-rally-for-answers-in-his-death-454859003.html,http://www.kansascity.com/news/local/article183281466.html,,,,
Provo,Brigham Young University,UT,US,2017-11-03,some 60,60,,60,,,general protestors,Protesting changes to university radio,0,protest,0,0,0,0,1,1,http://www.sltrib.com/news/2017/11/03/classical-music-fans-politely-protest-byu-decision-to-change-radio-format/,,,,,
Racine,Monument Square,WI,US,2017-11-05,more than 60,60,,60,,,Racine Interfaith Coalition,Protesting potential ending of Children's health program,0,protest,0,0,0,0,1,1,http://journaltimes.com/news/local/protesters-rally-for-children-s-health-care/article_356d4b78-d4d1-58c6-87a2-d10a98420382.html,,,,,
Salt Lake City,City Creek Park,UT,US,2017-11-05,about 60,60,,60,,,general protestors,Rallying against mormonism,0,rally,0,0,0,0,1,1,http://www.sltrib.com/religion/local/2017/11/06/dozens-rally-against-mormon-churchs-lgbtq-policies-at-mass-resignation-event/,,,,,
New York ,Kimmel Center,NY,US,2017-11-09,Approximately 60,60,,60,,,NYU Students,protest President Donald Trump’s decision to end DACA.,1,march,0,0,0,0,0,1,https://www.nyunews.com/2017/11/10/nyu-students-walkout-to-clean-the-dream-act/,,,,,
Austin ,South Austin Middle School,TX,US,2017-11-15,at least 60,60,,60,,,Students ,Protesting teacher's racist comment,1,protest ,0,0,0,0,1,1,http://www.mystatesman.com/news/local-education/austin-students-protest-accuse-teacher-saying-back-mexico/eHzp0DxlvABuXoyrVJbuqI/,http://www.kvue.com/news/local/fulmore-middle-school-teacher-on-administrative-leave-after-students-stage-protest/492150708,,,,
Kalispell,Senator Daines' office ,MT,US,2017-11-27,Around 60,60,,60,,,Indivisble Kalispell,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://act.indivisible.org/event/local-actions/7461/signup/?akid=&zip=&source=,http://www.kpax.com/story/36948025/tax-reform-proposal-protested-in-kalispell,,,,
Phoenix,Outside Sen. Flake's office,AZ,US,2017-11-27,FB: 60,60,,60,,,Indivisible Arizona,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/128965761112346/,,,,,
Iowa City,University of Iowa,IA,US,2017-11-29,about 60; roughly 80,60,,80,,,Campaign to Organize Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.press-citizen.com/story/news/2017/11/29/university-iowa-students-rally-against-graduate-student-tax/905056001/,http://www.idsnews.com/article/2017/11/ciwalkout,http://littlevillagemag.com/ui-grad-students-rally-against-republican-tax-bill/,,,
Norman,Oklahoma University,OK,US,2017-11-29,more than 60,60,,60,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.oudaily.com/news/ou-community-members-rally-against-proposed-tax-plan-potential-increased/article_95ad9f98-d548-11e7-a813-c3193b7bc1ca.html,,,,,
State College,Pennsylvania State University,PA,US,2017-11-29,more than 60,60,,60,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.centredaily.com/news/local/education/penn-state/article187188738.html,,,,,
New York,Columbus Circle,NY,US,2017-11-30,FB: 57,57,,57,,,Rise and Resist,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1983491451901255/,,,,,
New Haven,City Hall,CT,US,2017-11-16,FB: 54 went,54,,54,,,Unidad Latina en Accion,Protesting deportation of local man,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/455390051521681/,,,,,
New London,Parade Plaza,CT,US,2017-11-20,FB: 52 went,52,,52,,,outCT,Rallying for trans rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1902214249795649/,,,,,
Hartford ,U.S. Citizenship and Immigration Services,CT,US,2017-11-17,FB: 51,51,,51,,,We are Mariano ,Protest to stop deportation of Mariano Cardosa Sr.,1,protest ,0,0,0,0,1,1,https://www.facebook.com/events/787678358100746/,,,,,
Chicopee,Outside school committee meeting,MA,US,2017-11-01,about 50,50,,50,,,general protestors,Protesting lack of teacher contracts,0,protest ,0,0,0,0,1,1,https://www.seattletimes.com/nation-world/students-protest-against-lack-of-teachers-contract/,,,,,
Lincoln,State Capitol,NE,US,2017-11-05,about 50,50,,50,,,Nebraska Firearm Owners Association,Rallying for gun rights,2,rally,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/about-attend-second-amendment-rally-outside-nebraska-state-capitol/article_eebb2679-e6ee-5e2b-bacd-0a7bbbbfc21f.html,,,,,
Marblehead,Outside Unitarian Universalist Church,MA,US,2017-11-05,about 50,50,,50,,,general protestors,Protesting screening of movie viewed as anti-semitic,0,protest,0,0,0,0,1,1,http://www.gloucestertimes.com/screening-of-film-sparks-protest-in-marblehead/article_da45223a-df26-5eb9-b827-b88aaa24cd77.html,,,,,
Memphis,,TN,US,2017-11-05,nearly 50,50,,50,,,Detention Watch Network,Protesting deaths in ICE facilities,1,protest,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/2017/11/05/immigrant-detention-deaths-memphis-protest/830432001/,,,,,
Los Angeles,Myanmar Consulate General,CA,US,2017-11-08,some 50,50,,50,,,Jewish World Watch,Protesting genocide in Myanmar,0,protest,0,0,0,0,1,1,http://jewishjournal.com/news/los_angeles/227337/jewish-world-watch-holds-rally-rohingyas-myanmar-consulate/,,,,,
Ithaca,Ithaca College,NY,US,2017-11-09,More than 50,50,,50,,,Students,Protesting pro-NRA speaker,1,protest,0,0,0,0,1,1,https://theithacan.org/news/students-plan-to-protest-right-wing-gun-advocate-speaker-at-ic/,https://thinkprogress.org/students-stand-up-extreme-gun-rights-lobbyist-008571e0e39c/,,,,
Lynchburg,Virginia University of Lynchburg,VA,US,2017-11-09,more than 50,50,,50,,,Students,Protesting university living standards,0,protest,0,0,0,0,1,1,http://www.newsadvance.com/news/local/vul-students-protest-air-grievances-on-campus/article_2ae9771a-c5ba-11e7-9f6d-57e167e7e19a.html,http://www.richmond.com/news/virginia/virginia-university-of-lynchburg-students-protest-air-grievances-on-campus/article_30b071e8-2f1c-51a8-b0f5-90d4ff18c7ad.html,,,,
Minneapolis,Outside Sen. Klobuchar's office,MN,US,2017-11-09,over 50,50,,50,,,Minnesota Peace Action Coalition,Protesting Trump's aggressiveness toward North Korea,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/11/10/twin-cites-protest-slams-trump-war-moves-against-north-korea,http://www.fightbacknews.org/2017/11/10/twin-cites-protest-slams-trump-war-moves-against-north-korea,,,,
Victorville,Rancho Motor Company,CA,US,2017-11-10,about 50,50,,50,,,general protestors,Protesting allegations of discrimation against company,0,protest,0,0,0,0,1,1,http://www.vvdailypress.com/news/20171110/protesters-march-outside-rancho-motor-company-amid-racial-discrimination-allegations,http://www.sbsun.com/2017/11/10/dozens-rally-outside-victorvilles-rancho-motor-company-amid-allegations-of-racism-credit-fraud/,,,,
Vancouver,Bridge over Interstate 5,WA,US,2017-11-13,more than 50,50,,50,,,general protestors,Antifa rally,1,rally,0,0,0,0,0,1,http://www.oregonlive.com/clark-county/index.ssf/2017/11/group_to_hold_its_okay_to_be_w.html,,,,,
Palo Alto,Weeks St.,CA,Us,2017-11-15,about 50,50,,50,,,general protestors,Protesting RV evictions,0,protest,0,0,0,0,0,1,https://paloaltoonline.com/news/2017/11/15/protest-over-rv-evictions-in-east-palo-alto,,,,,
Pittsburgh,University of Pittsburgh,PA,US,2017-11-17,about 50,50,,50,,,Students,Protesting student debt,0,protest,0,0,0,0,1,1,https://pittnews.com/article/125070/news/student-rally-concludes-occupation-peaceful/,,,,,
Miami,Money Jungle,FL,US,2017-11-19,nearly 50,50,,50,,,general protestors,Protesting animal rights abuses,0,protest,0,0,0,0,1,1,https://www.nbcmiami.com/news/local/Protest-Group-Gathers-Outside-Monkey-Jungle-Over-Alleged-Animal-Abuse-458642733.html,,,,,
New Haven,City Hall,CT,US,2017-11-19,more than 50,50,,50,,,general protestors,Protesting against new superintendent,0,protest,0,0,0,0,1,1,http://wtnh.com/2017/11/19/new-haven-parents-rally-against-plans-for-new-superintendent/,http://www.nhregister.com/news/article/Rally-against-presumed-superintendent-choice-12372193.php,http://wtnh.com/2017/11/19/new-haven-parents-rally-against-plans-for-new-superintendent/,,,
Hartford,Superior Court,CT,US,2017-11-21,about 50,50,,50,,,general protestors,Rallying behind black woman whose roommate tried to poison her,0,rally,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-news-brianna-brochu-uhart-appearance-20171120-story.html,,,,,
Salt Lake City,State Capitol,UT,US,2017-11-21,more than 50,50,,50,,,University of Utah graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.sltrib.com/news/education/2017/11/22/worried-about-moves-to-tax-tuition-waivers-utah-graduate-students-rally-against-gop-tax-plans/,,,,,
Boise,Sen. Crapo's office,ID,US,2017-11-22,roughly 50,50,,50,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://boisestatepublicradio.org/post/talking-turkey-groups-collect-food-while-protesting-tax-bill-idaho-senators-office#stream/0,,,,,
Carlisle ,Hanover and High St. ,PA,US,2017-11-27,about 50,50,,50,,,Cumberland Valley Rising,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://act.indivisible.org/event/local-actions/7481/signup/?akid=&zip=&source=,http://cumberlink.com/news/local/communities/carlisle/dozens-rally-in-carlisle-against-tax-overhaul-proposal/article_a7887e82-1e3b-53fb-80d2-48d5461d0ffe.html,,,,
Marquette,Post Office,MI,US,2017-11-27,about 50,50,,50,,,Rise UP!,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.miningjournal.net/news/front-page-news/2017/11/tax-plan-protest/,,,,,
Chesapeake,Holly Point Apartments,VA,US,2017-11-29,roughly 50,50,,50,,,general protestors,Protesting natural gas pipeline,1,protest,0,,0,0,1,1,http://www.13newsnow.com/news/local/mycity/chesapeake/chesapeake-residents-hold-protest-against-pipeline/495522085,,,,,
Philadelphia,University of Pennsylvania,PA,US,2017-11-29,about 50,50,,50,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.insidehighered.com/news/2017/11/30/graduate-students-across-country-protest-tax-plan,,,,,
Stillwater,Oklahoma State University,OK,US,2017-11-29,more than 50,50,,50,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.stwnewspress.com/news/more-than-osu-graduate-students-protest-house-tax-bill/article_327a6b54-751d-5d9d-bd49-eaa1f0ad72a5.html,,,,,
Nashville,,TN,US,2017-11-30,about 50,50,,50,,,general protestors,Protesting appearance by Betsy DeVos,1,protest,0,0,0,0,1,1,http://www.tennessean.com/story/news/2017/11/30/betsy-devos-nashville-teacher-protest-tennessee-schools/910917001/,http://www.tennessean.com/story/news/2017/11/30/betsy-devos-nashville-teacher-protest-tennessee-schools/910917001/,,,,
Springdale,Tyson Food HQ,AR,US,2017-11-30,around 50,50,,50,,,Care2,Protesting Tyson Food,0,protest,0,0,0,0,1,1,http://ktul.com/news/local/mighty-earth-protesters-gather-outside-tyson-hq-calling-for-clean-water,,,,,
Louisville,City Hall,KY,US,2017-11-09,more than four dozen,48,,48,,,general protestors,#MeToo rally; against sexual assault,0,rally,0,0,0,0,1,1,https://insiderlouisville.com/metro/metoo-rally-expresses-publics-disappointment-with-dan-johnson-settlement/,http://www.courier-journal.com/story/news/politics/metro-government/2017/11/09/metoo-rally-demands-dan-johnson-be-kicked-out/846276001/,,,,
Chapel Hill,University of North Carolina,NC,US,2017-11-13,about 45,45,,45,,,Carolina Peace Council,Protesting speech by former Trump aid,1,protest,0,0,0,0,1,1,http://www.wral.com/groups-protest-speech-by-former-trump-assistant-at-unc-ch/17112026/,http://www.newsobserver.com/news/local/education/article184458403.html,http://www.heraldsun.com/news/local/education/article184458403.html,,,
Washington,US Senate ,DC,US,2017-11-14,FB: 45,45,,45,,,Center for American Progress Action ,#StillIN Enviromental protest ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/111627616220547/,,,,,
New York,Wall St.,NY,US,2017-11-16,FB: 43 went,43,,43,,,Rise and Resist,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/519316148422916/,,,,,
Houston,Travis St.,TX,US,2017-11-27,FB: 41,41,,41,,,Indivisible Houston,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/777263252461659/,,,,,
Mishawaka,Rep. Walorski's office,IN,US,2017-11-27,FB: 41,41,,41,,,Indivisible Indiana,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/140327759952533/,,,,,
Evanston,Northwestern University,IL,US,2017-11-03,about 40,40,,40,,,general protestors,Rallying against sexual violence,0,rally,0,0,0,0,1,1,https://dailynorthwestern.com/2017/11/04/campus/students-gather-sae-headquarters-lawn-protest-rape-culture-campus/,,,,,
Boston,Boston Common,MA,US,2017-11-04,scores,40,,40,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/11/04/rally/UsAgU2hRvoW0EMk8VWYdfK/story.html,,,,,
Laton,Zonnevold Dairy,CA,US,2017-11-14,more than 40,40,,40,,,Direct Action Everywhere,Protesting animal rights abuses,0,protest,0,0,0,0,1,1,http://www.fresnobee.com/news/local/article184590493.html,,,,,
New York,,NY,US,2017-11-14,roughly 40,40,,40,,,"Union of Clerical, Administrative, and Technical Staff","Protesting low wages, poor working conditions",0,protest,0,0,0,0,1,1,https://nyulocal.com/ucats-and-supporters-hold-demonstration-outside-tuesdays-bargaining-session-3bff088d8563,,,,,
Palo Alto,Stanford University,CA,US,2017-11-15,around 40,40,,40,,,Students,Protesting offensive native-american named buildings,1,protest,0,0,0,0,1,1,https://www.stanforddaily.com/2017/11/16/native-students-march-for-renaming-serra-landmarks-on-campus/,,,,,
Troy,9th St.,NY,US,2017-11-18,about 40,40,,40,,,general protestors,Protesting police brutality,1,protest,0,0,0,0,0,1,http://www.timesunion.com/7dayarchive/article/Protesters-march-against-police-brutality-in-Troy-12368208.php,,,,,
Northampton ,Northampton City Hall ,MA,US,2017-11-27,about 40,40,,40,,,Pioneer Valley Women's March; Indivisble NOHO ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://act.indivisible.org/event/local-actions/7494/signup/?akid=&zip=&source=,https://www.facebook.com/events/145644449410266/,http://www.gazettenet.com/tax-reform-sit-in-13990803,,,
Overland Park ,,KS,US,2017-11-28,more than 40; roughly 80,40,,80,,,general protestors,counter-protest,1,protest ,0,0,0,0,0,1,http://www.startribune.com/the-latest-trump-jr-event-in-kansas-draws-protest-backers/460647573/,http://www.registercitizen.com/news/article/Donald-Trump-Jr-leads-Kansas-fundraiser-for-12389939.php,http://www.kansascity.com/news/politics-government/article186989828.html,,,
Pittsburgh,University of Pittsburgh,PA,US,2017-11-29,about 40,40,,40,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://pittnews.com/article/125334/featured/grad-students-rally-against-gop-tax-plan/,,,,,
Washington ,National Building Musuem ,DC,US,2017-11-15,FB: 38,38,,38,,,Resist Here,Protesting Trump's tax plan ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/1727808953930410/,,,,,
Nashville,West End Ave.,TN,US,2017-11-27,FB: 38,38,,38,,,Indivisible Middle Tennessee,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1505803476162758/,,,,,
Columbus ,Senator Rob Portman's office ,OH,US,2017-11-29,FB: 38,38,,38,,,Ohio Indivisible 15th District,Protesting GOP tax plan,1,protest ,0,0,0,0,0,1,http://act.indivisible.org/event/local-actions/7490/signup/?akid=&zip=&source=,https://www.facebook.com/events/131574084226618/,,,,
Modesto,McHenry Ave.,CA,US,2017-11-04,around three dozen,36,,36,,,general protestors,Protesting tax increases,0,protest,0,0,0,0,1,1,http://fox40.com/2017/11/04/rep-denhams-constituents-rally-in-modesto-against-republican-tax-plan/,,,,,
Los Angeles,University of Southern California,CA,US,2017-11-06,three dozen,36,,36,,,general protestors,Vigil for those killed in shooting; rallying against violence,0,rally,0,0,0,0,1,1,https://dailytrojan.com/2017/11/06/vigil-held-victims-texas-shooting/,,,,,
New York ,Outside Trump Tower,NY,US,2017-11-08,FB: 36 went,36,,36,,,Pussy Power,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1482074825242914/,,,,,
Dallas ,Thanks-giving Square,TX,US,2017-11-13,about three dozen,36,,36,,,general protestors,Protesting Trump's immigration policy,1,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/immigration/2017/11/13/activists-dallas-protest-say-trumps-refugee-policies-go-far,,,,,
Moraine,Dryden Ave.,OH,US,2017-11-18,more than three dozen,36,,36,,,general protestors,Protesting police brutality,1,protest,0,0,0,0,1,1,http://www.daytondailynews.com/news/crime--law/group-rallies-for-man-shot-moraine-police-says-lawsuit-coming/Wkvjc7O7nzTddWQXaDGoKM/,,,,,
San Diego,Linda Vista apartments,CA,US,2017-11-26,more than three dozen,36,,36,,,San Diego Tenants United,"Protesting living conditions in apartments, landlord",0,protest,0,0,0,0,1,1,https://www.sandiegoreader.com/news/2017/nov/27/stringers-protest-alleged-slumlord-point-loma/,,,,,
New York,Outside Gov. Cuomo's office,NY,US,2017-11-27,about three dozen,36,,36,,,general protestors,Rallying for more rent control,0,rally,8,0,0,0,1,1,http://www.nydailynews.com/news/politics/8-protesters-busted-rent-rally-cuomo-midtown-office-article-1.3660968,,,,,
Salida,F street,CO,US,2017-11-30,,36,,36,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.themountainmail.com/free_content/image_a4fd01c2-d6b1-11e7-85af-371da79d031d.html,,,,,
Bayville,Outside Fire Hall,NJ,US,2017-11-13,about 35,35,,35,,,general protestors,"Counter-protest, against Trump and tax plan",1,protest,0,0,0,0,1,1,http://www.app.com/story/news/politics/2017/11/13/party-lines-drawn-ivanka-trump-event-protests-gather-drizzle-new-jersey-tax-reform/858604001/,,,,,
Staunton ,,VA,US,2017-11-15,about 40; about 35,35,,40,,,,Protesting KKK posters ,0,protest ,0,0,0,0,1,1,http://www.newsleader.com/story/news/local/2017/11/15/dozens-rally-response-kkk-flyers-staunton/868587001/,http://www.newsleader.com/story/news/local/2017/11/15/kkk-fliers-distributed-staunton/865524001/,,,,
Washington,,DC,US,2017-11-15,roughly 35,35,,35,,,Black Alliance for Just Immigration,Protesting deportation of black immigrants,1,protest,0,0,0,0,1,1,https://thinkprogress.org/black-immigrants-tps-6020fad0041c/,,,,,
Hartford,Metropolitan Community Church of Hartford,CT,US,2017-11-20,FB: 35 went,35,,35,,,Metropolitan Community Church of Hartford,Rallying for trans rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/367168327070338/,,,,,
Las Vegas,7055 S Lindell Rd.,NV,US,2017-11-01,FB: 34,34,,34,,,Battle Born Progress ,Protesting Adam Laxalt ,1,protest ,0,0,0,0,1,1,https://www.meetup.com/en-AU/Resist-Las-Vegas/events/244604063/,https://www.facebook.com/events/1727904027221910/,,,,
Reno,Downtown City Plaza,NV,US,2017-11-14,FB: 34 went,34,,34,,,Nevada Conversation League; OFA Nevada,#StillIN Environmental protest ,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/477759682605038/,,,,,
New York,Union Square Park,NY,US,2017-11-21,FB: 32 went,32,,32,,,Direct Action Everywhere New York City,Rallying against violence ,0,rally,0,0,0,0,0,1,https://www.facebook.com/events/1911052159222130/,,,,,
Gresham,East County Health Center,OR,US,2017-11-03,roughly 30,30,,30,,,medical workers,protest an unsigned labor contract for their union.,0,protest,0,0,0,0,1,1,http://portlandtribune.com/go/42-news/378265-264154-union-members-walk-out-to-protest-unsigned-contract,,,,,
Nevada County ,,CA,US,2017-11-04,about 30,30,,30,,,general protestors,Rally against gas tax ,0,rally,0,0,0,0,1,1,http://www.theunion.com/news/local-news/nevada-county-residents-rally-against-gas-tax/,,,,,
Eugene ,Federal Courthouse ,OR ,US,2017-11-07,about 30,30,,30,,,Indivisble Eugene ,Screaming protest ,1,protest ,0,0,0,0,1,1,http://klcc.org/post/anniversary-donald-trumps-presidential-win-has-protesters-screaming,http://www.foxnews.com/us/2017/11/09/anti-trump-protesters-scream-helplessly-at-sky-to-demonstrate-on-election-anniversary.html,,,,
Boston,Gov. Baker's office,MA,US,2017-11-08,about 30,30,,30,,,general protestors,Protesting inaction toward climate change,1,protest,0,0,0,0,0,1,http://www.salemnews.com/news/boxford-resident-among-protesters-deluging-baker-s-office-on-climate/article_d536cb9a-c4c1-11e7-bf42-4f9108025b08.html,,,,,
Durham,downtown,CT,US,2017-11-08,about 30,30,,30,,,general protestors,Protesting inmate deaths,0,protest,0,0,0,0,1,1,http://www.heraldsun.com/news/local/counties/durham-county/article183411106.html,,,,,
Eugene ,,OR,US,2017-11-08,about 30,30,,30,,,Refuse Fascism,screaming protest ,1,protest,0,0,0,0,1,1,http://www.foxnews.com/us/2017/11/09/anti-trump-protesters-scream-helplessly-at-sky-to-demonstrate-on-election-anniversary.html,,,,,
Hartford,Outside Rep. Valado's office,CT,US,2017-11-09,around 30,30,,30,,,general protestors,Protesting ICE detention,1,rally,0,0,0,0,1,1,http://hanfordsentinel.com/news/local/rally-for-daca-in-hanford/article_9ab19491-cd4d-5392-b26f-ea6ae319fe46.html,,,,,
New York,City Hall,NY,US,2017-11-18,NA,30,,30,,,East Village Cares,Rallying behind developer planning to renovate area,0,rally,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/casting-email-boosts-rally-turnout-nyc-dorm-project-article-1.3642976,,,,,
Salt Lake City,Bennett Federal Building,UT,US,2017-11-20,about 30,30,,31,,,general protestors,Protesting GOP tax plan,1,rally ,0,0,0,0,1,1,https://www.facebook.com/events/193180627909247/,http://www.sltrib.com/news/politics/2017/11/20/it-is-intentional-sabotage-utahns-rally-against-republican-tax-reform-bills/,,,,
Syracuse,South Warren St.,NY,US,2017-11-27,more than 30,30,,30,,,general protestors,Protesting proposal for new drilling site,0,protest,0,0,0,0,1,1,http://dailyorange.com/2017/11/community-members-rally-proposed-alaskan-oil-drilling-rep-john-katkos-office-syracuse/,,,,,
Jackson,Sen. Enzi's office,WY,US,2017-11-30,about 30,30,,30,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.jhnewsandguide.com/jackson_hole_daily/local/teton-dems-protest-tax-reform/article_4f476031-ae95-5caf-9415-da7939f0d1e0.html,,,,,
New York,Washington Square Park,NY,US,2017-11-30,approximately 30,30,,30,,,Freedom Socialists,Protesting cops who allegedly raped a woman,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/575194219493207/,https://nyulocal.com/freedom-socialists-protest-police-brutality-and-sexual-abuse-548baf0863b9,,,,
